,tweetid,user,content,date,lang,sentiment
80,782439869075320832,281763696,"El amor incondicional es esa clase de sentimiento que busca la felicidad de otro ser, incluso a costa del suyo. Familia es quien te ama.",Sun Oct 02 04:39:36 +0000 2016,es,P
82,782020700227923968,22363271,Fin de la Misión #Lima-limon: Muchas gracias a tod@s por el cariño y por la buena onda!! El tiempo fue corto pero se repetirá visita,Sat Oct 01 00:53:58 +0000 2016,es,P
86,776104226363699200,200333457,@madshila @soleyvelez @CarlosJRubiofm y ahora sonando @sinbandera #CancionesDeAmorEnFanatica excelente,Wed Sep 14 17:04:01 +0000 2016,es,P
87,776827610227703808,200333457,@AracelyPeri @AlejandroSanz @CorazonesPeru #girasiropevivo con nuestro Chan hermoso,Fri Sep 16 16:58:29 +0000 2016,es,P
88,776770664678162432,328310252,#QueFeoTuConsejoOe no funciona tu huevada,Fri Sep 16 13:12:12 +0000 2016,es,N
89,776596915077062656,2860685698,"Mi usb de mierda está malogrado y se me borró TODA MI PUTA INFO de eeggll ensayo de argu, monografia de investiga, los extrañaré",Fri Sep 16 01:41:47 +0000 2016,es,N
90,776660584024662016,183138589,Morí @AlexisDescalzo me dio like #Bombon,Fri Sep 16 05:54:47 +0000 2016,es,P
96,795488898839363584,81204324,"@CarmenLo19 hola Carmen!! Es una aplicación para ver películas y series! Bien completa es, incluso hay de las que están en estreno en HD.",Mon Nov 07 04:51:47 +0000 2016,es,P
97,790360997194190848,714677089589452804,"Siempre me han dicho que la relación que tengo con mi papá es muy bonita, es por que siempre solo nos hemos tenido el uno al otro",Mon Oct 24 01:15:20 +0000 2016,es,P
99,791419964385353728,199111686,El problema sera que como iré sola y tenga que ir a hacer algunas cosas durante el día no se a quien le dejare encargado mi sitio,Wed Oct 26 23:23:18 +0000 2016,es,N
100,791438076623151104,265836738,En mi casa todos morirán el día que haya un terremoto. Nadie me hace caso. Yo la única zonza parada en toalla en la calle.,Thu Oct 27 00:35:16 +0000 2016,es,N
101,790695801588740098,328568339,"Me sorprende ver cómo mejoras cada día, pero más que nada me llena de felicidad... Tranquilidad Ya iré a verte lo más pronto posible.",Mon Oct 24 23:25:44 +0000 2016,es,P
102,790621955389095936,698391366242594816,Querer alguien que no te quiere es como intentar volar con un ala rota. ..................................,Mon Oct 24 18:32:17 +0000 2016,es,N
104,785998110287769600,871036573,@mangoypalta abrazo sororoso nos encontraremos,Wed Oct 12 00:18:47 +0000 2016,es,P
107,786072722715578369,871036573,A esta ciudad la siento más propia cuando está la gente que quiero. Ni tenemos 25 y ya nos agarro la ola migratoria de amig,Wed Oct 12 05:15:16 +0000 2016,es,N
108,785686468039577601,440380151,"quiero ver las muñecas de la mafia,pero tengo que terminar mi examen y mañana tengo que hacer mi estúpido vídeo para el parcial y",Tue Oct 11 03:40:25 +0000 2016,es,N
110,786782471534866432,1225569499,Bob Dylan siempre ha sido un gran poeta Siempre lo dije. Siempre lo pensé. Sigo emocionada ¡Los tiempos están cambiando!,Fri Oct 14 04:15:33 +0000 2016,es,P
111,786804920397668353,770853570,Mis buenas intensiones se fueron a la M cuando descubro que no tengo pegamento y el plano no entra en la base  Entrega 9:00 AM,Fri Oct 14 05:44:45 +0000 2016,es,N
112,786813271466651649,714677089589452804,"Cuando estas bien con DIOS el enemigo te pone incapie en el camino, pero yo no tengo miedo por que mi FÉ esta en DIOS.",Fri Oct 14 06:17:56 +0000 2016,es,P
113,786718018223177728,198579667,"Nivel de inglés Sra @chechechacon ? Alto. Traduzca juguete. Toy. Úselo en una oración. Toy triste. Awww, vengache pa' acá",Thu Oct 13 23:59:26 +0000 2016,es,P
114,787053672400195584,714677089589452804,Dios guarda para mi lo mejor por que mi fe en el siempre perdurara por la eternidad. Quien busca encuentra y no se conforma con poco.,Fri Oct 14 22:13:12 +0000 2016,es,P
116,786053094538752000,871036573,No muchas cosas me han hecho tan feliz en estos días como darme cuenta que todo Ape in pink marble de Devendra Banhart está en spotify.,Wed Oct 12 03:57:16 +0000 2016,es,P
118,787296529191165952,2841584225,"@emarlyworld feliz sabado para ti tbm,a los tiempos entro al twitter y es agradable que a la primera persona que vea, sea a ti !!!",Sat Oct 15 14:18:14 +0000 2016,es,P
119,787154110407581696,67104636,"Y ahora, volvamos a la realidad... ¡ay Venezuela! Como me has hecho llorar desde lejos... con que tristeza digo que yo soy venezolano.",Sat Oct 15 04:52:19 +0000 2016,es,N
121,792521562255659008,1692716244,"sinceramente nunca me consideré belieber porque no es mi ídolo, pero sí, me encanta como artista y me sé toooodas sus canciones",Sun Oct 30 00:20:39 +0000 2016,es,P
123,793197250050682880,27775541,"Mi mejor amigo me quiere revender un cupón para un fds en un Hotel en Chincha. Qué, voy sola o qué? te pasaste de pendejo @Renzo_Ariza",Mon Oct 31 21:05:35 +0000 2016,es,N
124,792417027864555520,772085092168654849,"Bien Rafael, go ahead, no rscuches a los minusvalidos mentales red tomatoes, con climper y elmer cuba haran buen equipo!!!",Sat Oct 29 17:25:16 +0000 2016,es,P
128,791750348478218240,874353925,Hoy vi unas florecitas muy hermosas color lavanda !!! Y no pude recogerlas porque iba en el carro QUE IMPOTENCIA !!!!,Thu Oct 27 21:16:07 +0000 2016,es,N
129,789611974988558337,2282880553,"No sé porqué pero ya no me cae para nada, es más me da asquito y antes éramos amigas, aunque creo que ni eso consideraba ella",Fri Oct 21 23:38:59 +0000 2016,es,N
133,796223033723723776,81204324,"Hoy mejoré un poquito, para alguien que no hace deporte hace como 1 año, hacer 4K luego de 1 semana de empezar esta bien creo.",Wed Nov 09 05:28:59 +0000 2016,es,P
137,800200980717563905,283634239,"@FChavezCabrera Lo leí y pensé en ti Quisiera ser una hormiguita y trepar por tu balcón para decirte al oído:guapo,bonito y bombón.",Sun Nov 20 04:55:55 +0000 2016,es,P
138,800133387826692096,91882154,Le digo a mi gordo que pensaba irme de rumba y que me cancelaron a última hora. Y me dice que tomará un taxi lo amo!,Sun Nov 20 00:27:20 +0000 2016,es,P
143,799066830656733184,2557491590,@Melapplezz Ven para aca. -te abrazo fuerte- Se que no estoy fisicamente pero si estuviera haria de todo para que dejaras de sentirte mal,Thu Nov 17 01:49:13 +0000 2016,es,P
144,799061464728371200,2557491590,@AnimeMariana jajaa Pos yo igual queria verte cantar!!! :'''v Hubiera estado lindo. Pero pos creo que lo de 50 cosas seria algo genial,Thu Nov 17 01:27:53 +0000 2016,es,P
145,798019190896541697,2205881702,"""Contigo porque me matas y ahora sin ti ya no vivo"" -->Tal cual! Te mereces todo lo que has conseguido y conseguirás @AbrahamMateoMus",Mon Nov 14 04:26:16 +0000 2016,es,N
146,798744444790972416,3350876285,"Por gusto redacté un testamento para que Ale se lo publique a Steven ... Gracias Perú, me dejaste misio y encima Ale no publica nada",Wed Nov 16 04:28:10 +0000 2016,es,N
147,799439171907678208,481395812,"@lghostfive ¿estás bien o estás ahí por alguien más? lo que sea que fuese, espero de todo corazón que no sea nada grave del todo",Fri Nov 18 02:28:46 +0000 2016,es,P
148,799401064210501632,752532420,Bueno hoy fui a almorzar a Nanay con otras 3 dras xq la capacitación mal organizada no nos dió almuerzo y encima nos mandan a comer 2pm,Thu Nov 17 23:57:20 +0000 2016,es,N
150,804647042526183424,599653674,Sigamos siendo felices felices felices,Fri Dec 02 11:22:59 +0000 2016,es,P
153,804421712007659520,440380151,"@Smilue TE AMOOOOOO CSM A LA FI,y la verdad que eres la única que soporto de las amigas de tú sabes quien jeje",Thu Dec 01 20:27:36 +0000 2016,es,P
154,804153261259419648,2994953897,Nunca voy a entender porque se fueron a eeg... El verdadero combate peru se fue ahi no se porque! TE VEO Y ME PICA VICICONTE,Thu Dec 01 02:40:52 +0000 2016,es,N
157,805060500799295488,914822761,No hay una sola libreta que esté terminando y que tenga que poner el comentario final y no llore. Voy a extrañar demasaido mi clase,Sat Dec 03 14:45:55 +0000 2016,es,N
159,804752001716408320,2475649003,uno sale re feliz de la prepa y de pronto se encuentra con el trafico del mal y no hay cuando llegue a casa,Fri Dec 02 18:20:03 +0000 2016,es,N
162,805312206636281856,357340230,@davidernestoz yo te veo bonito,Sun Dec 04 07:26:06 +0000 2016,es,P
163,805236538233749508,19836010,"Bueno mi mama se quedo en casa acompañándolos, y bueno ella quiere ver Gisela, lo que tu desees madre! #nojuergahoy",Sun Dec 04 02:25:25 +0000 2016,es,P
164,805234114978791424,4106215156,"rama diciendo q mica se quede alla, tranqui q nosotros tambien queremos q se quede para q no este con hipocritas como vos @ramironayar",Sun Dec 04 02:15:48 +0000 2016,es,N
166,805965397921071104,764243,"#Guerrero es, de leeejos, la mejor película comercial que ha lanzado @Tondero hasta hoy. Lo cual no será decir mucho, pero es lo que es",Tue Dec 06 02:41:39 +0000 2016,es,P
167,803331684775194625,154647915,"@CristhianRS ¿? ¿Cuál tema? ¿Cuál manejo? ¿Por qué malísimo? Bueno, si así descalificas a El País, mejor ni discuto contigo. Bs tardes",Mon Nov 28 20:16:13 +0000 2016,es,N
168,803407150978596864,166730411,Pensé que este día no podía empeorar más y ahora Sali me dice que sus finales acaban un día antes de que me vaya,Tue Nov 29 01:16:06 +0000 2016,es,N
170,802731601276780544,714677089589452804,"Mi novio me quiere llevar a una fiesta y yo no quiero, el si es muy dependiente de mi a todos lados quiere ir conmigo #vesolosi",Sun Nov 27 04:31:42 +0000 2016,es,N
171,802521472388464640,248938038,#felizcumplemichi pasala bien con tus seres queridos exitos en todo en lo k te propongas y exitos en #Bioquimica tambien ) si se puede,Sat Nov 26 14:36:43 +0000 2016,es,P
173,802766879471366144,2793029074,"En una nueva aventura; aprendiendo a aprender el área de Educación física, en un enfoque por competencias.",Sun Nov 27 06:51:53 +0000 2016,es,P
174,803256972237619200,373421428,En la vet pq Aslitan está enfermito ...Hay una Sra. que está llorando pq a su perrito lo están operando,Mon Nov 28 15:19:20 +0000 2016,es,N
176,802359837308887040,3039539847,@CJSuasnabar soy el perro asesinado,Sat Nov 26 03:54:26 +0000 2016,es,N
178,803971670499266561,1283501732,"@primerafuente1 q increíble, esas historias!!!siempre recibir los favores y sobre de un mismo lugar no? Dar el rhe a un único instituto.",Wed Nov 30 14:39:17 +0000 2016,es,P
180,803669511006224384,766435412,"No puedo creer que en unas horas sere egresada!!! 21 años,2 carreras,estudios en europa,excelente trabajo Gracias Dios!",Tue Nov 29 18:38:37 +0000 2016,es,P
182,804055966782259200,350067417,"Quiero que sepas que desde el fondo de mi corazón, me importa una mrda lo que pienses de mí",Wed Nov 30 20:14:15 +0000 2016,es,N
184,804083503289790464,122459855,"@ceciliablume @fzavalal SÍ, me gusta, qué creativo!. Aquí otros aportes: CabildeaPE, DesregulaPE, SinconsultaPE... Seamos integrales PE !",Wed Nov 30 22:03:40 +0000 2016,es,P
185,804085188531666945,27966107,"@mamutida @Malfitan0 ¡gracias por el saludo! Jonasito está calentando la voz para entonar el ""feliz cumpleaños"" a lo Wagner",Wed Nov 30 22:10:22 +0000 2016,es,P
186,804135766859227136,1684194686,Se viene algo bueno #Navidad #Imelda #Tronconavideño #Fresas #frambuesas #blueberries @ Imelda,Thu Dec 01 01:31:21 +0000 2016,es,P
187,799849875236069376,3397407975,@cracks_oficial bueno felicidades por el millon de crack que hay en el canal !! soy un suscriptor ya un poco antiguo a por mas DE PERU,Sat Nov 19 05:40:45 +0000 2016,es,P
190,801288565028069376,308618759,"No es bonito tener que leer 3 capítulos de fármaco para tu pasito, luego leer inmuno para ener y finalmente terminar tu trabajo final",Wed Nov 23 04:57:35 +0000 2016,es,N
194,807383001608769536,19094958,"Era un señor de edad y eso. Y pues, es entendible. Pero que feo y difícil debe ser vivir eso",Sat Dec 10 00:34:42 +0000 2016,es,N
196,807270596723830784,704317453,#ElPeorAmigoSecretoEs el que le dice a todos quien es su amigo secreto o el que te regala un caramelo diminuto que venció hace 2 meses,Fri Dec 09 17:08:03 +0000 2016,es,N
198,808073120821248000,129632452,Mamá! No más paneton! No ves que ya he bajado como 8 kilos quieres que los suba en dos días?,Sun Dec 11 22:16:59 +0000 2016,es,N
201,807274276395040768,109141781,Ptmr hoy se presenta trébol clan y recuerdo que en gotica se presentó y fue la última vez que lo vi y hice mi cagada claro,Fri Dec 09 17:22:40 +0000 2016,es,N
204,807620774827855872,109141781,Yo dije que ayer no debí salir pero es que AGGGGG matenme solol soy un ser humano pero esta vez sí LA cague BIEN feo,Sat Dec 10 16:19:32 +0000 2016,es,N
205,807619249019572224,240776466,"Ayer mi profe me ubicó y fue genial hablar de tantos proyectos, en verdad de la nada nos encontramos con personas que nos motivan",Sat Dec 10 16:13:28 +0000 2016,es,P
206,807497095582248960,43269931,Todo pudo ser tan bonito,Sat Dec 10 08:08:04 +0000 2016,es,N
210,806710506098753536,1561422007,"Mi bebé primero reniega porque tiene hambre, y cuando ya comió un montón, reniega porque está muy llena. La más linda es",Thu Dec 08 04:02:27 +0000 2016,es,P
212,807156681419460608,2385426073,Por esos amigos que les dices que estas triste y ya te están planeando las salidas hasta los viajes a futuro con ellos Como los quiero,Fri Dec 09 09:35:23 +0000 2016,es,P
213,807087847958315009,1181112636,"@LinkinParkPeru sería genial...Tengo q ir cotizando mis órganos por q si es cierto voy si o si, queda sentenciado! #LinkinParkenPeru2017",Fri Dec 09 05:01:52 +0000 2016,es,P
216,808122399250059265,176572952,"@magdyelugaz q lindo verte llevando la alegria a las familias y niños en esas fiestas, espero que la pases lindo amiga Te deseo lo mejor",Mon Dec 12 01:32:48 +0000 2016,es,P
218,808456876811833344,160162379,"Que ganas de estrellar un ladrillo en la cabeza de mi jefe, tirar la puta computadora por la ventana y quemar el lugar",Mon Dec 12 23:41:54 +0000 2016,es,N
219,808431732001161216,328310252,"Hoy todos en la oficina se han burlado porque le he pedido a mi amigos secreto #PokemonMoon, me siento ""buliado""",Mon Dec 12 22:01:59 +0000 2016,es,N
222,808303124884705284,265836738,Estoy segura que esta fue mi última entrevista a Jaime Saavedra como ministro de Educación. Vamos a perder un gran ministro.,Mon Dec 12 13:30:57 +0000 2016,es,N
224,808357763600424960,249869830,@SoyCaracola si lugar de incalculables arrochadas,Mon Dec 12 17:08:04 +0000 2016,es,N
225,808405685411135488,27775541,"Después de 10 años, los Cantantes Sin Futuro volvieron a tocar juntos en Arequipa y yo en Lima Maldita sea",Mon Dec 12 20:18:29 +0000 2016,es,N
227,807677577087352833,528054096,Este mes es muy difícil 1er año de fallecida de mi sobrina cumpleaños de mi Madre y mi hermana,Sat Dec 10 20:05:14 +0000 2016,es,N
231,803451169305755648,599653674,Sigamos siendo felices felices felices,Tue Nov 29 04:11:00 +0000 2016,es,P
233,803577475301253120,2231650947,"Despertar con la noticia de esta terrible tragedia . Dios los tenga en su gloria campeones , sabiduría y resignación para las familias",Tue Nov 29 12:32:54 +0000 2016,es,N
234,803309245512945668,627791007,"Lo bueno de salir temprano es que puedo almorzar en mi casa, o sea, comida de verdad",Mon Nov 28 18:47:03 +0000 2016,es,P
235,796701664363347968,166730411,"Al principio me dolió ese corazón azul, luego recordé cómo era y que no tiene bandera y se me pasó",Thu Nov 10 13:10:53 +0000 2016,es,P
238,796547706948882432,1005307664,"Qué bonito es entrar a tu correo y que dos empresas, al mismo tiempo, te confirmen un fuerte auspicio",Thu Nov 10 02:59:07 +0000 2016,es,P
239,796715656125313024,77049171,"@2820gchu maldito ataque de ansiedad tampoco lo soporto, es por eso que los dramas en emisión me hacen sufrir horrores",Thu Nov 10 14:06:29 +0000 2016,es,N
241,796582166457094144,205524341,"Un sentimiento y sensación hermosa que disfruto segundo a segundo con ganas enormes de abrazarte sin morbo ni nada, solo algo tan puro.",Thu Nov 10 05:16:02 +0000 2016,es,P
242,796598626118201345,713559703,"@IvettlyOficial Yo igual, recuerdo que siempre te estaré apoyando en todo, a pesar de la distancia, siempre estaré aquí.",Thu Nov 10 06:21:27 +0000 2016,es,P
248,797162520897290240,2636763848,"Extraño las clases de biblia del Pastor Manzanares y sus no tareas , aún no supero que se haya ido",Fri Nov 11 19:42:10 +0000 2016,es,N
251,797118773752840192,63001453,"Fue muy bonito postular para el CEUP, hacer cosas que nunca pensé que podía en cortísimo tiempo, de hecho me enseñó a organizarme. #feliz",Fri Nov 11 16:48:20 +0000 2016,es,P
260,797071598163468288,457745150,"Taaaanto que se mueren por saber de mi, vamo a dejar que me stalkeen para que luego se puedan ir felices a la mrda",Fri Nov 11 13:40:52 +0000 2016,es,N
261,797070603912118273,77049171,"Por fin río, caray. Después de lo de ayer, pensé que me iba a deprimir, pero hoy estoy feliz",Fri Nov 11 13:36:55 +0000 2016,es,P
262,796907520250048512,2183158688,"El mejor regalo de hoy, aparte de mucha comida, Ganó Perú..!!! #VamosPerú #10/11",Fri Nov 11 02:48:53 +0000 2016,es,P
266,796060524702208000,2886461872,@popstitude nadie quiere escuchar tu (horrible) música. Deberías respetar el área común. (Imbesil) super polite!,Tue Nov 08 18:43:13 +0000 2016,es,N
267,795839599897497600,97760588,Comenzando mal la semana enfermandome,Tue Nov 08 04:05:21 +0000 2016,es,N
269,795864384828506112,357340230,Los días pasan y cada salida es tan genial a tu lado Eres lo máximo y lo mejor que me ha pasado este año.,Tue Nov 08 05:43:50 +0000 2016,es,P
270,795861665665323008,148445379,"No se con qué rayos pintan la señaletica de las pistas, pero mi cuarto apesta a esa huevada",Tue Nov 08 05:33:02 +0000 2016,es,N
271,795833893018542080,232361844,"Cada vez que escucho ""Instituciones"" de Sui Generis se me escarapela la piel por lo hermosa que es y también me acuerdo de ti",Tue Nov 08 03:42:40 +0000 2016,es,P
272,795866591925825536,238775918,"Feliz por las salvadas por el público y la salvada por el jurado canta dms bien pero la veo como solista, Aimee era más para #LaBanda",Tue Nov 08 05:52:36 +0000 2016,es,P
274,794949226715316224,2319218221,Lo que se enojó cuando le dije que me iva a ir a pachanga :v jajajajajaja lindo amiguito resultó ser,Sat Nov 05 17:07:19 +0000 2016,es,N
276,795110000758837249,122459855,"@mchl1782 @SalitaSin @CharitoObando Mas bien, penoso desconocimiento diversas realidades del Perú. Ahora anda preocupada x el clásico(!?)",Sun Nov 06 03:46:11 +0000 2016,es,N
277,795161282416668672,557377840,El segundo video del Otaku Fest está a un 60% (?) ;_; Espero esté listo para el día lunes,Sun Nov 06 07:09:57 +0000 2016,es,N
279,794599197932589056,588374284,@Yeesus_ @laMaquinaPeru @CSerranoTV ya no es lo mismo,Fri Nov 04 17:56:26 +0000 2016,es,N
280,794751340199215104,396904066,Cómo todo los VIERNES siempre esperando @Rapperground RAP en la radio a la media noche 12:00am vía los 102.7 FM radio filarmónia yeahh,Sat Nov 05 04:00:59 +0000 2016,es,P
281,794756473079365632,103096704,Este es el único día del año en el que me muero de ganas por salir a una disco y no tengo con quién,Sat Nov 05 04:21:23 +0000 2016,es,N
282,794742189091737600,151260576,Que día mas agotador.... conferencia laboratorio y clase sin parar y para cerrar el día..... mañana tengo clases full day yeeee!,Sat Nov 05 03:24:38 +0000 2016,es,N
283,794715302558834688,3338022893,Tan desesperado que hasta stalkea,Sat Nov 05 01:37:47 +0000 2016,es,N
285,794746075928207360,199111686,"@tenyexrsgone A mi me jode bastante eso créeme, y mas aun que de acá ni del hotel salieran, no se porque siempre lo mismo",Sat Nov 05 03:40:04 +0000 2016,es,N
286,794705961726386176,713559703,"@IvettlyOficial Gracias a ti por todo, por el cariño que brindas a tus seguidores, por ser tan buena, por ser como eres simplemente.",Sat Nov 05 01:00:40 +0000 2016,es,P
287,794420541495136259,123014350,Ese momento en ronque agarras el sueño profundo y te despiertan de la peor forma .... Que maldad,Fri Nov 04 06:06:31 +0000 2016,es,N
288,797556184702140416,356263965,"Creo que es la primera vez que no me deprimo por la fecha de mi cumple, esta vez la preocupación por mi sustenta le ganó",Sat Nov 12 21:46:26 +0000 2016,es,N
289,797616656415674368,2860919680,creo que ambos nos seguimos leyendo pues bueno espero estés bien y poder conversar en algún momento éxitos en todo y vibras,Sun Nov 13 01:46:44 +0000 2016,es,P
291,797590170950373376,123102206,Antes el Matsuri era gratis despues subio a 10S/. Ahora 20S/ y ahora es limitado Ya nada sera como antes...,Sun Nov 13 00:01:29 +0000 2016,es,N
294,797311860215345152,791661612386160641,@ElMiyashiro @elguilledice @angelabandonado @perudirector @recomienda_pe @Andresilvachuy Ya vere tu peliii exitos,Sat Nov 12 05:35:35 +0000 2016,es,P
295,797310856732274689,301610440,"@odiomistweets No puede ser, eso me está pasando en estos momentos, hace rato estaba good happy y ahora solo i cry",Sat Nov 12 05:31:36 +0000 2016,es,N
296,797257564463316992,2452057033,@MarifeCastroR si que bueno les gusto eso buscamos que las personas les guste la interpretación y cosplay muchas gracias a ti,Sat Nov 12 01:59:50 +0000 2016,es,P
299,806595768698228737,478927157,"¡Gran ejemplo a seguir Lennon! inspiradora eeriencia ""De agilista a empresario #devHangout con @lshimokawa @devacademyla""",Wed Dec 07 20:26:31 +0000 2016,es,P
301,807021459780444160,631288892,"@neohelden ¿En serio?? Ignoras por convicción, esa es una ;lo de intereses de universidades se ha dicho hasta el cansancio.",Fri Dec 09 00:38:04 +0000 2016,es,N
302,806599314810306560,50862843,"Por Navidad que tus huelepedos te regalen agüita de azahar, cosa que te calmas y dejas de enviar DM porque te hicieron LEÑA en Twitter.",Wed Dec 07 20:40:37 +0000 2016,es,N
303,806981647040180226,195575910,Que huevada es trabajar feriado,Thu Dec 08 21:59:52 +0000 2016,es,N
304,806900801859895296,308618759,"Yo también podría subir las fotos de mis comidas y juguitos fit, mi rutina en el gym but ¿Cúal es el fin? #genteposera #FelizJueves",Thu Dec 08 16:38:37 +0000 2016,es,N
306,809482993295355906,2421564739,"@dane_ng A Ud. parece que sí, porque la educación que TODO MUNDO recibe por lo visto le choca de sobremanera.",Thu Dec 15 19:39:19 +0000 2016,es,N
307,809447192473849858,43238563,"@yamtst uuuuy más que feliz con eso, quiero ir a verte!!! Tengo mis últimas vacaciones",Thu Dec 15 17:17:04 +0000 2016,es,P
308,809489089082884096,119962253,Aquí con mi buen amigo 'Carl' de la película 'UP' Lo máximo!,Thu Dec 15 20:03:33 +0000 2016,es,P
310,809519396452532225,764243,Viendo la que será de hecho una de las sorpresas del cine peruano del 2017. Nueva sangre para renovar nuestra filmografía nacional,Thu Dec 15 22:03:58 +0000 2016,es,P
311,809559875185426432,1327372519,"Casi el 80% de los pobladores estamos mal ubicados, en un terremoto estiman 50 mil muertos en Lima",Fri Dec 16 00:44:49 +0000 2016,es,N
